hour,heating,ac,dishwasher,water_heating,oven,clothes_washer,clothes_dryer,ev charger
1,0.7325,0.3348,0.2,0.2309,0,0.0222,0.1274,0
2,0.7325,0.3348,0.2,0.2309,0,0.0222,0.1274,
3,0.7889,0.2833,0.0973,0.1741,0,0.0087,0.0514,
4,0.8446,0.2443,0.0448,0.17,0,0.0216,0.0341,
5,0.9014,0.2174,0.508,0.2265,0,0.0747,0.0682,
6,0.9548,0.2025,0.1434,0.3369,0,0.176,0.1428,
7,0.9928,0.2006,0.2916,0.4719,0,0.3222,0.2418,
8,1,0.2144,0.4635,0.583,0,0.4928,0.3442,
9,0.9659,0.2476,0.5967,0.6281,0,0.6475,0.4315,
10,0.8945,0.3039,0.6481,0.608,0,0.7413,0.4963,
11,0.8017,0.3857,0.6506,0.5565,0,0.7497,0.5408,
12,0.705,0.4905,0.6222,0.5205,0,0.6834,0.5674,
13,0.6192,0.6092,0.6074,0.4901,0,0.5807,0.5754,
14,0.5559,0.7291,0.5942,0.4606,0,0.4872,0.5658,
15,0.521,0.8383,0.5599,0.4385,0,0.4336,0.5447,
16,0.5147,0.9273,0.5206,0.4353,0.0526225,0.4262,0.5206,
17,0.5341,0.9851,0.5262,0.4345,0.0526225,0.4503,0.5025,
18,0.5735,1,0.6062,0.4495,0,0.4788,0.4972,
19,0.6214,0.9684,0.7257,0.4738,0,0.4832,0.5046,
20,0.6637,0.8987,0.8198,0.4974,0,0.4471,0.5157,
21,0.6908,0.8046,0.8438,0.5136,0,0.372,0.5156,
22,0.7009,0.6985,0.7878,0.5167,0,0.2741,0.4886,
23,0.6989,0.5884,0.6647,0.4992,0,0.179,0.421,
24,0.694,0.4783,0.4949,0.3714,0,0.117,0.3011,
